kind,vertical
x_um_requested,1
x_um_used,1
y_um,C_cm3
0,3.15562086903e+14
0.0025,7.91781983429e+16
0.005,1.51078366256e+17
0.0075,2.18259539079e+17
0.01,2.87615936154e+17
0.0125,3.64955830651e+17
0.015,4.53481662842e+17
0.0175,5.54392439784e+17
0.02,6.67595723314e+17
0.0225,7.92049637579e+17
0.025,9.25867345642e+17
0.0275,1.06635194796e+18
0.03,1.21005084145e+18
0.0325,1.35286433921e+18
0.035,1.49021713395e+18
0.0375,1.6172876609e+18
0.04,1.72928143706e+18
0.0425,1.82172770714e+18
0.045,1.89077420915e+18
0.0475,1.93345311832e+18
0.05,1.94789262295e+18
0.0525,1.93345311832e+18
0.055,1.89077420915e+18
0.0575,1.82172770715e+18
0.06,1.72928143706e+18
0.0625,1.61728766096e+18
0.065,1.49021713436e+18
0.0675,1.35286434177e+18
0.07,1.21005085684e+18
0.0725,1.06635203658e+18
0.075,9.25867831189e+17
0.0775,7.92052155961e+17
0.08,6.67608003719e+17
0.0825,5.544482795e+17
0.085,4.53716086455e+17
0.0875,3.65853516191e+17
0.09,2.90705226924e+17
0.0925,2.27642251956e+17
0.095,1.75692332707e+17
0.0975,1.33665197941e+17
0.1,1.00264110576e+17
0.1025,7.4178174853e+16
0.105,5.41529119703e+16
0.1075,3.9039161089e+16
0.11,2.78222679944e+16
0.1125,1.96347338309e+16
0.115,1.37560602951e+16
0.1175,9.60356142013e+15
0.12,6.71756442347e+15
0.1225,4.74384502197e+15
0.125,3.41547005671e+15
0.1275,2.53555571868e+15
0.13,1.9618622373e+15
0.1325,1.59367247332e+15
0.135,1.36105319041e+15
0.1375,1.21636614985e+15
0.14,1.12776298485e+15
0.1425,1.07433994916e+15
0.145,1.04262309233e+15
0.1475,1.02408115286e+15
0.15,1.01340674945e+15
0.1525,1.00735509054e+15
0.155,1.00397626586e+15
0.1575,1.00211831412e+15
0.16,1.00111208427e+15
0.1625,1.00057533713e+15
0.165,1.00029332536e+15
0.1675,1.00014737527e+15
0.17,1.00007297143e+15
0.1725,1.00003560737e+15
0.175,1.00001712346e+15
0.1775,1.00000811547e+15
0.18,1.00000379064e+15
0.1825,1.00000174499e+15
0.185,1.00000079171e+15
0.1875,1.00000035402e+15
0.19,1.00000015603e+15
0.1925,1.00000006778e+15
0.195,1.00000002902e+15
0.1975,1.00000001225e+15
0.2,1.00000000509e+15
0.2025,1.00000000209e+15
0.205,1.00000000084e+15
0.2075,1.00000000034e+15
0.21,1.00000000013e+15
0.2125,1.00000000005e+15
0.215,1.00000000002e+15
0.2175,1.00000000001e+15
0.22,1e+15
0.2225,1e+15
0.225,1e+15
0.2275,1e+15
0.23,1e+15
0.2325,1e+15
0.235,1e+15
0.2375,1e+15
0.24,1e+15
0.2425,1e+15
0.245,1e+15
0.2475,1e+15
0.25,1e+15
0.2525,1e+15
0.255,1e+15
0.2575,1e+15
0.26,1e+15
0.2625,1e+15
0.265,1e+15
0.2675,1e+15
0.27,1e+15
0.2725,1e+15
0.275,1e+15
0.2775,1e+15
0.28,1e+15
0.2825,1e+15
0.285,1e+15
0.2875,1e+15
0.29,1e+15
0.2925,1e+15
0.295,1e+15
0.2975,1e+15
0.3,1e+15
0.3025,1e+15
0.305,1e+15
0.3075,1e+15
0.31,1e+15
0.3125,1e+15
0.315,1e+15
0.3175,1e+15
0.32,1e+15
0.3225,1e+15
0.325,1e+15
0.3275,1e+15
0.33,1e+15
0.3325,1e+15
0.335,1e+15
0.3375,1e+15
0.34,1e+15
0.3425,1e+15
0.345,1e+15
0.3475,1e+15
0.35,1e+15
0.3525,1e+15
0.355,1e+15
0.3575,1e+15
0.36,1e+15
0.3625,1e+15
0.365,1e+15
0.3675,1e+15
0.37,1e+15
0.3725,1e+15
0.375,1e+15
0.3775,1e+15
0.38,1e+15
0.3825,1e+15
0.385,1e+15
0.3875,1e+15
0.39,1e+15
0.3925,1e+15
0.395,1e+15
0.3975,1e+15
0.4,1e+15
0.4025,1e+15
0.405,1e+15
0.4075,1e+15
0.41,1e+15
0.4125,1e+15
0.415,1e+15
0.4175,1e+15
0.42,1e+15
0.4225,1e+15
0.425,1e+15
0.4275,1e+15
0.43,1e+15
0.4325,1e+15
0.435,1e+15
0.4375,1e+15
0.44,1e+15
0.4425,1e+15
0.445,1e+15
0.4475,1e+15
0.45,1e+15
0.4525,1e+15
0.455,1e+15
0.4575,1e+15
0.46,1e+15
0.4625,1e+15
0.465,1e+15
0.4675,1e+15
0.47,1e+15
0.4725,1e+15
0.475,1e+15
0.4775,1e+15
0.48,1e+15
0.4825,1e+15
0.485,1e+15
0.4875,1e+15
0.49,1e+15
0.4925,1e+15
0.495,1e+15
0.4975,1e+15
0.5,1e+15
