kind,horizontal
y_um_requested,0.05
y_um_used,0.05
x_um,C_cm3
0,1e+15
0.005,1e+15
0.01,1e+15
0.015,1e+15
0.02,1e+15
0.025,1e+15
0.03,1e+15
0.035,1e+15
0.04,1e+15
0.045,1e+15
0.05,1e+15
0.055,1e+15
0.06,1e+15
0.065,1e+15
0.07,1e+15
0.075,1e+15
0.08,1e+15
0.085,1e+15
0.09,1e+15
0.095,1e+15
0.1,1e+15
0.105,1e+15
0.11,1e+15
0.115,1e+15
0.12,1e+15
0.125,1e+15
0.13,1e+15
0.135,1e+15
0.14,1e+15
0.145,1e+15
0.15,1e+15
0.155,1e+15
0.16,1e+15
0.165,1e+15
0.17,1e+15
0.175,1e+15
0.18,1e+15
0.185,1e+15
0.19,1e+15
0.195,1e+15
0.2,1e+15
0.205,1e+15
0.21,1e+15
0.215,1e+15
0.22,1e+15
0.225,1e+15
0.23,1e+15
0.235,1e+15
0.24,1e+15
0.245,1e+15
0.25,1e+15
0.255,1e+15
0.26,1e+15
0.265,1e+15
0.27,1e+15
0.275,1e+15
0.28,1e+15
0.285,1e+15
0.29,1e+15
0.295,1e+15
0.3,1e+15
0.305,1e+15
0.31,1e+15
0.315,1e+15
0.32,1e+15
0.325,1e+15
0.33,1e+15
0.335,1e+15
0.34,1e+15
0.345,1e+15
0.35,1e+15
0.355,1e+15
0.36,1e+15
0.365,1e+15
0.37,1e+15
0.375,1e+15
0.38,1e+15
0.385,1e+15
0.39,1e+15
0.395,1e+15
0.4,1e+15
0.405,1e+15
0.41,1e+15
0.415,1e+15
0.42,1e+15
0.425,1e+15
0.43,1e+15
0.435,1e+15
0.44,1e+15
0.445,1e+15
0.45,1e+15
0.455,1e+15
0.46,1e+15
0.465,1e+15
0.47,1e+15
0.475,1e+15
0.48,1e+15
0.485,1e+15
0.49,1e+15
0.495,1e+15
0.5,1e+15
0.505,1e+15
0.51,1e+15
0.515,1e+15
0.52,1e+15
0.525,1e+15
0.53,1e+15
0.535,1e+15
0.54,1e+15
0.545,1e+15
0.55,1e+15
0.555,1e+15
0.56,1e+15
0.565,1e+15
0.57,1e+15
0.575,1e+15
0.58,1e+15
0.585,1e+15
0.59,1e+15
0.595,1e+15
0.6,1e+15
0.605,1e+15
0.61,1e+15
0.615,1e+15
0.62,1e+15
0.625,1e+15
0.63,1e+15
0.635,1.00000000006e+15
0.64,1.00000000101e+15
0.645,1.00000001587e+15
0.65,1.00000022747e+15
0.655,1.00000292732e+15
0.66,1.0000330875e+15
0.665,1.00031853185e+15
0.67,1.00249874134e+15
0.675,1.01494480514e+15
0.68,1.0616295861e+15
0.685,1.15785094188e+15
0.69,1.33657690947e+15
0.695,1.65715572152e+15
0.7,2.21647877922e+15
